year,region,co,no2,o3,pm10,pm25,psi,so2,buses,cars,motorcycles,others,RoadCategory,RoadCategory_Counts
2018,east,0.4064106699751861,27.15062034739454,23.687593052109182,29.41228287841191,14.743052109181141,51.22543424317618,6.556079404466502,231276,7654441,1663064,1939651,F,13
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,A,3
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,B,35
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,C,3
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,D,1
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,E,1
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,F,14
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,A,5
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,B,26
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,C,5
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,D,2
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,F,28
2018,north,0.5996029776674938,25.27059553349876,29.319478908188586,26.635111662531017,15.284367245657569,52.349007444168734,5.826302729528536,231276,7654441,1663064,1939651,A,3
